reduction, algorithm, length, rbits, round, size, number of strongly connected componentes, scc nr., scc size
end, BLAKE256, 10, 0, 55, 29, 6, 1, 1
end, BLAKE256, 10, 0, 55, 29, 6, 2, 1
end, BLAKE256, 10, 0, 55, 29, 6, 3, 1
end, BLAKE256, 10, 0, 55, 29, 6, 4, 2
end, BLAKE256, 10, 0, 55, 29, 6, 5, 2
end, BLAKE256, 10, 0, 55, 29, 6, 6, 22
end, BLAKE256, 10, 1, 9, 712, 1, 1, 712
end, BLAKE256, 10, 2, 3, 961, 1, 1, 961
end, BLAKE256, 10, 3, 2, 1020, 1, 1, 1020
end, BLAKE256, 10, 4, 2, 1024, 1, 1, 1024
end, BLAKE256, 12, 0, 70, 66, 3, 1, 1
end, BLAKE256, 12, 0, 70, 66, 3, 2, 13
end, BLAKE256, 12, 0, 70, 66, 3, 3, 52
end, BLAKE256, 12, 1, 11, 2736, 1, 1, 2736
end, BLAKE256, 12, 2, 4, 3829, 1, 1, 3829
end, BLAKE256, 12, 3, 2, 4081, 1, 1, 4081
end, BLAKE256, 12, 4, 2, 4095, 1, 1, 4095
end, BLAKE256, 14, 0, 232, 95, 7, 1, 1
end, BLAKE256, 14, 0, 232, 95, 7, 2, 2
end, BLAKE256, 14, 0, 232, 95, 7, 3, 5
end, BLAKE256, 14, 0, 232, 95, 7, 4, 5
end, BLAKE256, 14, 0, 232, 95, 7, 5, 12
end, BLAKE256, 14, 0, 232, 95, 7, 6, 29
end, BLAKE256, 14, 0, 232, 95, 7, 7, 41
end, BLAKE256, 14, 1, 12, 10920, 3, 1, 1
end, BLAKE256, 14, 1, 12, 10920, 3, 2, 2
end, BLAKE256, 14, 1, 12, 10920, 3, 3, 10917
end, BLAKE256, 14, 2, 5, 15213, 1, 1, 15213
end, BLAKE256, 14, 3, 3, 16315, 1, 1, 16315
end, BLAKE256, 14, 4, 2, 16382, 1, 1, 16382
end, Groestl256, 10, 0, 51, 24, 4, 1, 3
end, Groestl256, 10, 0, 51, 24, 4, 2, 3
end, Groestl256, 10, 0, 51, 24, 4, 3, 4
end, Groestl256, 10, 0, 51, 24, 4, 4, 14
end, Groestl256, 10, 1, 7, 691, 1, 1, 691
end, Groestl256, 10, 2, 3, 960, 1, 1, 960
end, Groestl256, 10, 3, 2, 1021, 1, 1, 1021
end, Groestl256, 10, 4, 2, 1024, 1, 1, 1024
end, Groestl256, 12, 0, 97, 230, 7, 1, 1
end, Groestl256, 12, 0, 97, 230, 7, 2, 4
end, Groestl256, 12, 0, 97, 230, 7, 3, 5
end, Groestl256, 12, 0, 97, 230, 7, 4, 14
end, Groestl256, 12, 0, 97, 230, 7, 5, 17
end, Groestl256, 12, 0, 97, 230, 7, 6, 32
end, Groestl256, 12, 0, 97, 230, 7, 7, 157
end, Groestl256, 12, 1, 8, 2786, 2, 1, 1
end, Groestl256, 12, 1, 8, 2786, 2, 2, 2785
end, Groestl256, 12, 2, 4, 3802, 1, 1, 3802
end, Groestl256, 12, 3, 2, 4087, 1, 1, 4087
end, Groestl256, 12, 4, 2, 4096, 1, 1, 4096
end, Groestl256, 14, 0, 320, 147, 6, 1, 4
end, Groestl256, 14, 0, 320, 147, 6, 2, 5
end, Groestl256, 14, 0, 320, 147, 6, 3, 8
end, Groestl256, 14, 0, 320, 147, 6, 4, 20
